"ス014","フォークソング同好会","奏","120分","05月02日13:30~15:30","05月02日14:30~16:30","05月01日13:30~15:30","三バンドの出演を予定しているため演奏自体に一バンド30分前後・バンド転換に最低15分と仮定すると、120分の出演時間が必要です。希望時刻については、ちょうど昼ご飯の時間が終わって観客が一番来てくれるであろう時間帯にしました。",""
"ス072","大阪大学軽音楽部ROCK","奏","120分","05月01日15:30~17:30","05月01日15:00~17:00","05月01日16:00~18:00","希望出演時間に関して：例年ステージライブには3バンドが出演していて、機材搬入・設営、リハーサル、演奏時間、各バンド間の転換、機材撤収などを考慮したとき、ある程度余裕をもってライブを行うには1バンドにつき30分から40分必要になります。必ずしも120分必要ということはありませんが、下限は90分とさせていただきたいです。
希望開始・終了時刻に関して：ステージライブの前には館内の機材の撤収・運搬を行う必要があり、その後もう一度館内にて機材設営を行うのは時間的に厳しいので、館内ライブとの兼ね合いで、二日目の15～16時以降にステージライブができると非常に助かります。夕方以降であれば特に細かな時間指定はありません。",""
"ス061","阪大ボカロサークル「まちか音」","奏","90分","05月02日16:00~17:30","05月02日16:30~18:00","05月02日15:30~17:00","5月2日に予定している教室ライブの後にステージでも機材を使いたいため、遅めの時間帯が望ましい。",""
"ス097","大阪大学応援団","宙","45分","05月02日14:15~15:00","05月02日15:15~16:00","05月02日16:00~16:45","弊団のOBOGの方々やその他関係者の方々の観覧のご都合がつく時間帯が5/2の昼以降のため。この時間帯であればより盛り上がるステージが行えると考えた。",""
"ス115","大阪大学書道部","宙","90分","05月01日17:00~18:30","05月02日17:00~18:30","05月01日16:00~17:30","片付けに時間がかかるので、できる限り最後の時間のグループが良いです。日付はいつでも構いません。",""
"ス066","大阪大学お祭りダンスサークル祭楽人","宙","45分","05月01日13:00~13:45","05月01日14:00~14:45","05月01日15:00~15:45","大会の関係で5月2日の出演が厳しいため、5月1日の出演を希望します。",""
"ス101","ふりみつ","宙","90分","05月01日13:30~15:00","05月01日12:00~13:30","05月01日15:00~16:30","出演日については、5/2に参加できないサークルメンバーが多いため、5/1を希望します。出演時間については、100人程が参加予定であり余裕を持った準備をしたいのと、比較的明るい時間帯で安全に踊ることができると考えたため以上の時間帯を希望します。",""
"ス023","阪大インキャオタクブラスバンド","奏","90分","05月01日17:00~18:30","05月02日17:00~18:30","05月01日15:30~17:00","サークルが出している模擬店の宣伝を1日目にしたいから。
また人数の関係上ステージ演奏は模擬店撤収後に行いたいため遅い時間の方が都合が良いから。",""
"ス042","inspiritual voices","奏","120分","05月02日16:30~18:30","05月01日16:30~18:30","05月02日15:00~17:00","構成員が約200人と規模の大きいサークルなので出演希望者数が非常に多い一方で、アカペラという演奏形態の特性上一度にステージに立てる人数が少ないためできる限りバンド数を増やしたいという点、またアカペラは楽器を使わずに世代やジャンルを超えて様々な音楽を演奏可能であることが最大の魅力の1つであり、観客に様々なジャンルのバンドを見ていただきその魅力を知ってもらいたいという点から、可能な限りの演奏枠をいただければ幸いです。また屋外・館内区分の企画との関係上、機材の撤収などの点から、例年と同様夕方の時間帯での出演を希望します。",""
"ス074","BEAT CRAZY","奏","120分","05月01日13:30~15:30","05月02日13:30~15:30","05月01日14:00~16:00","ドラムやアンプなどの機材はスタジオに借りており、スタジオの方のお昼休憩の間に機材の運び込みをしたいため、13時半以降を希望しています。また、軽音サークルの中でもメンバーが200人以上ととても多いことから出演希望バンドの数も多いため出演時間120分は確保したく、
このように希望致しました。","ー"
"ス049","大阪大学阿波おどりサークル阪大連","宙","15分","05月01日15:30~15:45","05月02日15:30~15:45","05月01日17:00~17:15","着付けに時間がかかるため，午前は避けたいです．
また，観客参加型のコーナーを含むので，観客席にアクセスしやすいステージ宙を希望します．",""
